CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE,LANDMIX,VC_EMPDEN,VC_POPDEN,AVGDA,SMLDA,POPDEN,EMPDEN,INTERDEN,PERC4INTER,SPRAWL
4620201,201,24,Quebec / Québec,462,24462,Montréal,B,0.639730443,0.47703265,0.526705214,0.033907535,48.47905583,19083.98541,8324.778686,166.2274649,54.83870968,0.75
4620202,202,24,Quebec / Québec,462,24462,Montréal,B,0.502040253,0.445871376,0.3623917,0.03491632,77.53653431,17282.13544,7937.344401,175.9308295,60.46511628,0.724
4620203,203,24,Quebec / Québec,462,24462,Montréal,B,0.143338097,0.177357659,0.142677209,0.018915391,100,28548.18083,16283.03647,126.8808037,83.33333333,1.186
4620204,204,24,Quebec / Québec,462,24462,Montréal,B,0.140603311,0.128430313,0.110902059,0.018680669,100,28585.69928,16112.91289,171.3000706,62.5,1.193
4620205,205,24,Quebec / Québec,462,24462,Montréal,B,0.245521095,0.07685842,0.151827964,0.017583823,100,30070.25264,16350.25557,113.7409083,100,1.221
4620206,206,24,Quebec / Québec,462,24462,Montréal,B,0.143288624,0.229315674,0.111268065,0.0184626,100,27775.06992,16032.41165,162.4906587,60,1.176
4620350,350,24,Quebec / Québec,462,24462,Montréal,B,0.664977518,0.942094067,1.045360536,0.074201409,9.854407331,11343.00117,5255.964897,161.7219968,27.77777778,0.4146
4620380,380,24,Quebec / Québec,462,24462,Montréal,B,0.370639792,0.699568255,0.630933977,0.038063542,52.50068988,13332.96836,6075.367356,321.8302708,39.79591837,0.5349
4620381,381,24,Quebec / Québec,462,24462,Montréal,B,0.400895643,0.937418043,0.842795455,0.026025957,49.04616313,26853.53236,10288.87329,251.8852797,20.33898305,0.9209
8250204.03,204.03,48,Alberta,825,48825,Calgary,B,0.00168955,0.479062386,0.539328575,25.37915637,0,25.81514756,14.61172814,1.142669976,31.03448276,-1.359
9330400.04,400.04,59,British Columbia / Colombie-Britannique,933,59933,Vancouver,B,0.371690763,1.264249609,1.204640675,0.98511575,0,1476.577752,795.8455641,19.8961391,15.30612245,-0.5833
4620385,385,24,Quebec / Québec,462,24462,Montréal,B,0.010924818,0.264904168,0.236230203,0.007384232,100,102718.8776,47736.85478,0,0,2.281
4620306,306,24,Quebec / Québec,462,24462,Montréal,B,0.442179557,0.461389225,0.349487118,0.014791665,100,32078.87728,16225.35415,78.87324936,14.28571429,1.213
4620307,307,24,Quebec / Québec,462,24462,Montréal,B,0.003278479,0.222403343,0.183149442,0.009872414,100,44554.16167,25540.14139,115.7626805,87.5,1.582
4620390,390,24,Quebec / Québec,462,24462,Montréal,B,0.548220304,0.956976007,0.950952286,0.204262073,0,2932.507195,1689.006648,73.43507167,40,-0.2493
