GEOUID,PROV,EMP15
12040028,12,140
12040029,12,105
12040030,12,170
12040032,12,210
12040033,12,240
12040034,12,215
12040035,12,165
12040036,12,160
12040037,12,160
12040038,12,170
12040039,12,340
12040040,12,195
12040041,12,150
12040042,12,155
12040043,12,235
12040044,12,175
12040045,12,250
12040046,12,175
12040047,12,130
12040048,12,200
12040049,12,150
1205,12,8035
12050044,12,190
12050045,12,275
12050046,12,220
12050047,12,220
12050048,12,230
12050049,12,255
12050050,12,180
12050051,12,180
12050052,12,230
12050053,12,270
12050054,12,225
12050055,12,210
12050056,12,210
12050057,12,240
12050058,12,275
12050059,12,220
12050060,12,140
12050061,12,230
12050062,12,205
12050063,12,190
12050064,12,230
12050065,12,110
12050066,12,165
12050067,12,165
12050068,12,260
12050069,12,100
12050070,12,160
12050071,12,150
12050072,12,245
12050073,12,145
12050074,12,165
12050075,12,220
12050077,12,35
12050078,12,145
12050082,12,150
12050083,12,110
12050084,12,95
12050085,12,150
12050086,12,75
12050087,12,145
12050088,12,195
12050089,12,260
12050093,12,145
1206,12,21300
12060072,12,145
12060074,12,210
12060075,12,95
12060076,12,370
12060077,12,245
12060078,12,205
12060079,12,170
12060080,12,180
12060081,12,275
12060082,12,240
12060083,12,220
12060084,12,295
12060085,12,270
12060086,12,295
12060087,12,155
12060088,12,200
12060089,12,255
12060090,12,290
12060091,12,340
12060092,12,275
12060093,12,200
12060094,12,230
12060095,12,270
12060096,12,140
12060097,12,240
12060098,12,210
12060099,12,145
12060100,12,270
12060101,12,240
12060102,12,165
12060103,12,360
12060104,12,230
12060105,12,300
12060106,12,245
12060107,12,245
12060108,12,260
12060109,12,190
12060110,12,185
12060111,12,205
12060112,12,100
12060113,12,180
12060114,12,315
12060115,12,265
12060116,12,200
12060117,12,225
12060118,12,275
12060119,12,250
12060120,12,200
12060121,12,120
12060122,12,150
12060123,12,175
12060124,12,300
12060125,12,295
12060126,12,410
12060127,12,175
12060128,12,175
12060129,12,230
12060130,12,250
12060131,12,230
12060132,12,195
12060133,12,170
12060134,12,110
12060135,12,190
12060136,12,445
12060137,12,260
12060138,12,380
12060139,12,300
12060140,12,20
12060141,12,235
12060142,12,190
12060143,12,245
12060144,12,310
12060145,12,175
12060146,12,210
12060147,12,160
12060148,12,195
12060149,12,315
12060150,12,190
12060151,12,415
12060152,12,180
12060153,12,265
12060154,12,185
12060155,12,300
12060156,12,170
12060157,12,205
12060158,12,175
12060159,12,260
12060160,12,230
12060161,12,285
12060162,12,315
12060163,12,280
12060164,12,165
1207,12,26960
12070081,12,230
12070082,12,190
12070083,12,245
12070084,12,165
12070085,12,240
12070086,12,180
12070087,12,465
12070088,12,395
12070089,12,215
12070090,12,240
12070091,12,340
12070092,12,155
12070093,12,260
12070094,12,330
12070095,12,120
12070096,12,310
12070097,12,160
12070098,12,330
12070099,12,275
12070100,12,190
12070101,12,150
